produto,cluster,kw_primaria,volume,kd,kw_cluster,unidades_semana,views_semana,receita_semana,cvr_semana
Poncho Premium Infantil,"Poncho, toalha e roupao",poncho toalha infantil,590,9,poncho toalha infantil,17,307,2211.23,5.54
PONCHO CLASSICO TODAS AS CORES,"Poncho, toalha e roupao",poncho toalha infantil,590,9,poncho toalha infantil,10,166,1229.44,6.02
PONCHO RESORT PREMIUM FEMININO,"Poncho, toalha e roupao",poncho surf feminino,90,4,poncho toalha infantil,8,201,1676.38,3.98
MAIO STORM,Maio,maio de praia,18100,27,maio de praia,8,540,1878.62,1.48
Poncho Premium Adulto M/G,"Poncho, toalha e roupao",poncho toalha infantil,590,9,poncho toalha infantil,7,127,1163.39,5.51
MAIO MOANA,Maio,maio de praia,18100,27,maio de praia,7,145,1734.13,4.83
MAIO RINCON,Maio,maio de praia,18100,27,maio de praia,7,1168,1482.33,0.6
Poncho Atoalhado Roupao Toalha Surf Natacao Classico Adulto,"Poncho, toalha e roupao",poncho toalha infantil,590,9,poncho toalha infantil,5,160,702.69,3.12
Poncho Clássico Infantil (XPP e PP),"Poncho, toalha e roupao",poncho toalha infantil,590,9,poncho toalha infantil,5,145,616.15,3.45
Poncho Premium Adulto P,"Poncho, toalha e roupao",poncho toalha infantil,590,9,poncho toalha infantil,3,166,488.11,1.81
Poncho Premium Adulto Areia MG,"Poncho, toalha e roupao",poncho toalha infantil,590,9,poncho toalha infantil,3,47,496.47,6.38
MAIO LISO GOLA ALTA MANGA LONGA E ZIPER,Maio,maio manga longa,1900,12,maio de praia,2,172,433.38,1.16
MAIO MACAQUINHO PARATY SURF NATACAO,Maio,maio de praia,18100,27,maio de praia,2,522,467.98,0.38
PONCHO RESORT PREMIUM INFANTIL,"Poncho, toalha e roupao",poncho toalha infantil,590,9,poncho toalha infantil,2,116,325.08,1.72
MAIO GAROA,Maio,maio de praia,18100,27,maio de praia,1,118,239.99,0.85
MAIO LYCRA JOHN,Maio,maio de praia,18100,27,maio de praia,1,76,276.44,1.32
Camiseta Lycra Surf UV50 Manga Longa Preto com Verde,"Lycra, camiseta UV e rash",camiseta uv masculina manga longa,590,12,rash guard,1,7,139.99,14.29
PONCHO SUPREME (Algodão),"Poncho, toalha e roupao",poncho toalha infantil,590,9,poncho toalha infantil,1,46,264.99,2.17
CAMISETA PIPELINE,"Lycra, camiseta UV e rash",rash guard,18100,10,rash guard,1,33,198.11,3.03
Saída de Praia Vestido Regata Alça Cruzada com Transparencia,Saida de praia e resort,saida de praia,60500,26,saida de praia,1,7,79.74,14.29
Camiseta Lycra Surf UV50 Manga Longa Verde com Preto,"Lycra, camiseta UV e rash",camiseta uv masculina manga longa,590,12,rash guard,1,15,152.32,6.67
CALÇA FLARE,Fora de linha (fitness/moletom),,,,,1,18,126.09,5.56
Poncho Clássico Adulto (P e M),"Poncho, toalha e roupao",poncho toalha infantil,590,9,poncho toalha infantil,1,43,139.99,2.33
Camiseta Lycra Surf UV50 Manga Longa Azul com Preto,"Lycra, camiseta UV e rash",camiseta uv masculina manga longa,590,12,rash guard,1,6,129.0,16.67
MAIO BELLS LISO MANGA LONGA E ZIPER,Maio,maio manga longa,1900,12,maio de praia,1,88,237.49,1.14
Maiô Manga Longa Bicolor Zíper UV50 Blackout Premium,Maio,maio manga longa proteção uv,140,21,maio de praia,1,52,212.7,1.92
MACACÃO,Saida de praia e resort,saida de praia,60500,26,saida de praia,0,23,0.0,0.0
CAMISETA LYCRA FEMININA ITAMAMBUCA,"Lycra, camiseta UV e rash",blusa uv feminina,3600,15,rash guard,0,17,0.0,0.0
Camiseta Lycra Surf Feminina UV50 Segunda Pele Surfnelas,"Lycra, camiseta UV e rash",blusa uv feminina,3600,15,rash guard,0,18,0.0,0.0
Camisa Feminina Gola V Lycra UV50 Manga Longa Praia Protecao,"Lycra, camiseta UV e rash",camiseta uv feminina manga longa,320,12,rash guard,0,7,0.0,0.0
Maiô Body Surf Sem Manga Alça Cruzada Proteção Solar UV50,Maio,maio manga longa proteção uv,140,21,maio de praia,0,75,0.0,0.0
Maiô Body Surf Manga Longa Proteção Solar UV50 Liso Branco,Maio,maio manga longa proteção uv,140,21,maio de praia,0,19,0.0,0.0
Maiô Body Surf Manga Longa Proteção Solar UV50 Vaca,Maio,maio manga longa proteção uv,140,21,maio de praia,0,5,0.0,0.0
Poncho Premium Adulto Areia P,"Poncho, toalha e roupao",poncho toalha infantil,590,9,poncho toalha infantil,0,61,0.0,0.0
Camiseta Lycra Surf Feminina UV50 Segunda Pele Vaca,"Lycra, camiseta UV e rash",blusa uv feminina,3600,15,rash guard,0,10,0.0,0.0
Camiseta Lycra Surf UV50 Manga Longa Rosa com Preto,"Lycra, camiseta UV e rash",camiseta uv masculina manga longa,590,12,rash guard,0,7,0.0,0.0
